_aberration|aberration|sapma
downstream|downstream|akıntı yönünde/aşağı akış
dam|dam|baraj
reservoir|reservoir|rezervuar/su deposu
canal_1|canal|kanal
irrigation|irrigation|sulama
agriculture|agriculture|tarım
cultivation|cultivation|ekim/dikim
harvest|harvest|hasat
livestock|livestock|hayvan sürüsü/besi hayvanları
natural_resources|natural resources|doğal kaynaklar
mineral|mineral|mineral
petroleum|petroleum|petrol
natural_gas|natural gas|doğal gaz
renewable_energy|renewable energy|yenilenebilir enerji
solar_power|solar power|güneş enerjisi
wind_power|wind power|rüzgar enerjisi
hydroelectric|hydroelectric|hidroelektrik
geothermal|geothermal|jeotermal
biofuel|biofuel|biyoyakıt
deforestation|deforestation|ormansızlaşma
biodiversity|biodiversity|biyoçeşitlilik
ecosystem|ecosystem|ekosistem
habitat|habitat|habitat/doğal ortam
environment|environment|çevre
pollution|pollution|kirlilik
global_warming|global warming|küresel ısınma
ozone_layer|ozone layer|ozon tabakası
greenhouse_effect|greenhouse effect|sera etkisi
carbon_footprint|carbon footprint|karbon ayak izi
conservation|conservation|koruma (doğa)
preservation|preservation|muhafaza/koruma
endangered|endangered|nesli tükenmekte olan
extinct|extinct|nesli tükenmiş
migration|migration|göç
abstract|abstract|soyut
concrete|concrete|somut/beton
accidental|accidental|tesadüfen/kazara
deliberate|deliberate|kasıtlı/planlı
adequate|adequate|yeterli
inadequate|inadequate|yetersiz
adventurous|adventurous|maceracı
aggressive|aggressive|saldırgan
ambitious|ambitious|hırslı/iddialı
ancient|ancient|antik/çok eski
anonymous|anonymous|isimsiz/anonim
apparent|apparent|aşikar/görünür
appropriate_1|appropriate|uygun
artificial|artificial|yapay
awkward|awkward|garip/beceriksiz/zor
basic|basic|temel
brilliant|brilliant|parlak/harika/zeki
calm|calm|sakin
capable|capable|yetenekli/muktedir
careful|careful|dikkatli
careless|careless|dikkatsiz
casual|casual|gündelik/sıradan
central|central|merkezi
certain|certain|emin/kesin
chaotic|chaotic|kaotik
cheerful|cheerful|neşeli
classic|classic|klasik
clever|clever|zeki/akıllı
common|common|yaygın/ortak
complex|complex|karmaşık
confident|confident|kendinden emin
confused|confused|kafası karışmış
conscious|conscious|bilinçli
constant|constant|sürekli/sabit
content|content|memnun/içerik
cool|cool|serin/havalı
correct|correct|doğru
courageous|courageous|cesur
creative|creative|yaratıcı
critical|critical|kritik/eleştirel
crucial|crucial|çok önemli/hayati
curious|curious|meraklı
dangerous|dangerous|tehlikeli
deadly|deadly|ölümcül
decent|decent|edepli/uygun/fena değil
deep|deep|derin
delicate|delicate|hassas/narin
delicious|delicious|lezzetli
dependent|dependent|bağımlı
desperate|desperate|çaresiz/umutsuz
different|different|farklı
difficult|difficult|zor
diligent|diligent|gayretli/çalışkan
dirty|dirty|kirli
disappointed|disappointed|hayal kırıklığına uğramış
diverse|diverse|çeşitli/farklı
dramatic|dramatic|dramatik/çarpıcı
dry|dry|kuru
eager|eager|istekli/sabırsız
early|early|erken
easy|easy|kolay
efficient|efficient|verimli/etkili
elderly|elderly|yaşlı
elegant|elegant|zarif/şık
emotional|emotional|duygusal
empty|empty|boş
energetic|energetic|enerjik
enormous|enormous|devasa/kocaman
enthusiastic|enthusiastic|hevesli
equal|equal|eşit
essential|essential|temel/gerekli
even|even|bile/çift/düz
exact|exact|kesin/tam
excellent|excellent|mükemmel
excited|excited|heyecanlı
expensive|expensive|pahalı
experienced|experienced|deneyimli
external|external|harici/dış
extreme|extreme|aşırı/uç
fair|fair|adil/orta/panayır
faithful|faithful|sadık
false|false|yanlış/sahte
familiar|familiar|tanıdık/aşina
famous|famous|ünlü
fantastic|fantastic|harika/fantezi
far|far|uzak
fast|fast|hızlı
fat|fat|şişman/yağ
fatal|fatal|ölümcül
favorite|favorite|favori/en sevilen
feeble|feeble|zayıf/güçsüz
feminine|feminine|dişil/kadınsı
fierce|fierce|şiddetli/vahşi
final|final|final/son
fine|fine|iyi/ince/ceza
firm|firm|sıkı/firma
fit|fit|formda/uygun
flat|flat|düz/daire
flexible|flexible|esnek
fluent|fluent|akıcı
